titulo,fecha,universidad,categoria,ubicacion,hora,url_origen
Congreso Nacional: Inteligencia Artificial,2024-12-19,UPAO,Ciencias de la Salud,Campus Principal,13:00,https://www.upao.edu.pe/eventos/ejemplo
Seminario Especializado: Inteligencia Artificial,2024-12-19,ULIMA,Arquitectura y Diseño,Campus Principal,18:00,https://www.ulima.edu.pe/eventos/ejemplo
Conferencia Internacional: Innovación y Emprendimiento,2024-12-19,UNAC,Arquitectura y Diseño,Campus Principal,18:00,https://www.unac.edu.pe/eventos/ejemplo
Hackathon: Industria 4.0,2024-12-18,UNFV,Humanidades,Campus Principal,12:00,https://www.unfv.edu.pe/eventos/ejemplo
Conferencia Internacional: Blockchain,2024-12-18,UNSAAC,Ingeniería y Tecnología,Campus Principal,12:00,https://www.unsaac.edu.pe/eventos/ejemplo
Feria de Investigación: Industria 4.0,2024-12-18,UNAC,Arquitectura y Diseño,Campus Principal,9:00,https://www.unac.edu.pe/eventos/ejemplo
Taller Práctico: Biotecnología,2024-12-17,UPC,Ciencias de la Salud,Campus Principal,13:00,https://www.upc.edu.pe/eventos/ejemplo
Workshop Internacional: Blockchain,2024-12-17,USMP,Ciencias Empresariales,Campus Principal,10:00,https://www.usmp.edu.pe/eventos/ejemplo
Feria de Investigación: Industria 4.0,2024-12-17,UNSA,Ingeniería y Tecnología,Campus Principal,14:00,https://www.unsa.edu.pe/eventos/ejemplo
Congreso Nacional: Innovación y Emprendimiento,2024-12-15,UNMSM,Ciencias de la Salud,Campus Principal,8:00,https://www.unmsm.edu.pe/eventos/ejemplo
Conferencia Internacional: Innovación y Emprendimiento,2024-12-15,UCSP,Ciencias de la Salud,Campus Principal,13:00,https://www.ucsp.edu.pe/eventos/ejemplo
Seminario Especializado: Inteligencia Artificial,2024-12-13,PUCP,Humanidades,Campus Principal,14:00,https://www.pucp.edu.pe/eventos/ejemplo
Simposio: Transformación Digital,2024-12-13,UNALM,Arquitectura y Diseño,Campus Principal,12:00,https://www.unalm.edu.pe/eventos/ejemplo
Taller Práctico: Biotecnología,2024-12-13,USIL,Ciencias Sociales,Campus Principal,16:00,https://www.usil.edu.pe/eventos/ejemplo
Taller Práctico: Industria 4.0,2024-12-13,UCSUR,Ingeniería y Tecnología,Campus Principal,14:00,https://www.ucsur.edu.pe/eventos/ejemplo
Conferencia Internacional: Desarrollo Sostenible,2024-12-12,USMP,Arquitectura y Diseño,Campus Principal,17:00,https://www.usmp.edu.pe/eventos/ejemplo
Seminario Especializado: Inteligencia Artificial,2024-12-12,UDEP,Ciencias Empresariales,Campus Principal,18:00,https://www.udep.edu.pe/eventos/ejemplo
Hackathon: Industria 4.0,2024-12-10,UCSM,Ciencias Empresariales,Campus Principal,9:00,https://www.ucsm.edu.pe/eventos/ejemplo
Simposio: Industria 4.0,2024-12-10,UPAO,Ingeniería y Tecnología,Campus Principal,16:00,https://www.upao.edu.pe/eventos/ejemplo
Seminario Especializado: Biotecnología,2024-12-10,ULADECH,Ingeniería y Tecnología,Campus Principal,9:00,https://www.uladech.edu.pe/eventos/ejemplo
Taller Práctico: Blockchain,2024-12-10,UNAP,Ingeniería y Tecnología,Campus Principal,14:00,https://www.unap.edu.pe/eventos/ejemplo
Congreso Nacional: Biotecnología,2024-12-06,UDEP,Ingeniería y Tecnología,Campus Principal,16:00,https://www.udep.edu.pe/eventos/ejemplo
Hackathon: Transformación Digital,2024-12-05,UPCH,Ciencias de la Salud,Campus Principal,9:00,https://www.upch.edu.pe/eventos/ejemplo
Conferencia Internacional: Innovación y Emprendimiento,2024-12-05,UIGV,Humanidades,Campus Principal,12:00,https://www.uigv.edu.pe/eventos/ejemplo
Workshop Internacional: Transformación Digital,2024-12-05,UNP,Ingeniería y Tecnología,Campus Principal,14:00,https://www.unp.edu.pe/eventos/ejemplo
Seminario Especializado: Biotecnología,2024-12-03,PUCP,Ciencias Empresariales,Campus Principal,11:00,https://www.pucp.edu.pe/eventos/ejemplo
Simposio: Transformación Digital,2024-12-03,UNALM,Humanidades,Campus Principal,11:00,https://www.unalm.edu.pe/eventos/ejemplo
Simposio: Desarrollo Sostenible,2024-12-03,UNFV,Ciencias Sociales,Campus Principal,10:00,https://www.unfv.edu.pe/eventos/ejemplo
Congreso Nacional: Innovación y Emprendimiento,2024-12-03,UPC,Arquitectura y Diseño,Campus Principal,15:00,https://www.upc.edu.pe/eventos/ejemplo
Taller Práctico: Desarrollo Sostenible,2024-12-03,UNCP,Ciencias Empresariales,Campus Principal,13:00,https://www.uncp.edu.pe/eventos/ejemplo
Conferencia Internacional: Innovación y Emprendimiento,2024-12-03,URP,Humanidades,Campus Principal,15:00,https://www.urp.edu.pe/eventos/ejemplo
Workshop Internacional: Industria 4.0,2024-12-03,UCSM,Humanidades,Campus Principal,16:00,https://www.ucsm.edu.pe/eventos/ejemplo
Seminario Especializado: Blockchain,2024-12-02,UNI,Ciencias Sociales,Campus Principal,16:00,https://www.uni.edu.pe/eventos/ejemplo
Workshop Internacional: Industria 4.0,2024-12-02,URP,Ciencias Sociales,Campus Principal,14:00,https://www.urp.edu.pe/eventos/ejemplo
Hackathon: Blockchain,2024-12-01,UNA,Ciencias Empresariales,Campus Principal,8:00,https://www.una.edu.pe/eventos/ejemplo
Workshop Internacional: Industria 4.0,2024-12-01,ULADECH,Humanidades,Campus Principal,12:00,https://www.uladech.edu.pe/eventos/ejemplo
